0.001953,15.6443,1.9939,0.000006,0.000055,0.000038,0.000497,0.000386,0.000450,0.000462,0.000196,0.000059,0.000015
0.006088,15.6305,1.9931,0.000044,0.000384,0.000265,0.003419,0.002651,0.003095,0.003177,0.001364,0.000411,0.000107
0.010122,15.6073,1.9916,0.000119,0.001037,0.000721,0.009025,0.006981,0.008150,0.008381,0.003655,0.001114,0.000294
0.013896,15.5773,1.9897,0.000231,0.002005,0.001407,0.016947,0.013073,0.015262,0.015731,0.006999,0.002167,0.000581
0.017775,15.5360,1.9870,0.000381,0.003273,0.002327,0.026547,0.020413,0.023830,0.024634,0.011270,0.003564,0.000974
0.021711,15.4836,1.9837,0.000569,0.004822,0.003483,0.037078,0.028423,0.033181,0.034405,0.016305,0.005298,0.001484
0.025693,15.4206,1.9796,0.000794,0.006628,0.004876,0.047718,0.036493,0.042602,0.044307,0.021905,0.007356,0.002122
0.029718,15.3474,1.9749,0.001056,0.008664,0.006505,0.057648,0.044046,0.051419,0.053611,0.027844,0.009720,0.002898
0.033788,15.2640,1.9695,0.001356,0.010899,0.008364,0.066110,0.050574,0.059040,0.061660,0.033868,0.012362,0.003825
0.037907,15.1708,1.9635,0.001694,0.013299,0.010445,0.072499,0.055686,0.065008,0.067924,0.039720,0.015249,0.004912
0.042079,15.0679,1.9567,0.002069,0.015829,0.012731,0.076400,0.059124,0.069022,0.072039,0.045144,0.018337,0.006168
0.046308,14.9557,1.9494,0.002481,0.018449,0.015201,0.077623,0.060771,0.070945,0.073828,0.049901,0.021571,0.007600
0.050601,14.8344,1.9414,0.002931,0.021120,0.017S26,0.076219,0.060647,0.070802,0.073306,0.053788,0.024891,0.009208
0.054961,14.7040,1.9327,0.003419,0.023800,0.020570,0.072448,0.058888,0.068748,0.070658,0.056647,0.028227,0.010990
0.059393,14.5650,1.9235,0.003944,0.026447,0.023390,0.066743,0.055721,0.065053,0.066204,0.058372,0.031504,0.012940
0.063905,14.4173,1.9135,0.004506,0.029041,0.026263,0.059667,0.051456,0.060075,0.060390,0.058920,0.034673,0.015060
